lucide_backend  | 2025-12-23 11:14:58,159 - backend.api.football_api - INFO - API Response: 604 results
lucide_backend  | 2025-12-23 11:14:58,159 - backend.main - INFO - Found 604 leagues
lucide_backend  | 2025-12-23 11:14:58,163 - backend.main - INFO - Fetching type=cup...
lucide_backend  | 2025-12-23 11:14:58,163 - backend.api.football_api - INFO - API Request: leagues with params: {'season': 2025, 'type': 'cup', 'current': 'true'}
lucide_backend  | 2025-12-23 11:14:58,196 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/leagues?season=2025&type=cup&current=true "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:14:58,202 - backend.api.football_api - INFO - API Response: 279 results
lucide_backend  | 2025-12-23 11:14:58,202 - backend.main - INFO - Found 279 cups
lucide_backend  | 2025-12-23 11:14:58,204 - backend.main - INFO - Total leagues collected: 883
lucide_backend  | 2025-12-23 11:14:58,206 - backend.main - INFO - Returning 883 leagues (8 favorites)
lucide_backend  | INFO:     172.22.0.1:44444 - "GET /api/leagues/all HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47010 - "OPTIONS /api/leagues/all HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47022 - "OPTIONS /api/leagues/all HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47022 - "GET /api/leagues/all HTTP/1.1" 401 Unauthorized
lucide_backend  | INFO:     172.22.0.1:47022 - "GET /api/leagues/all HTTP/1.1" 401 Unauthorized
lucide_backend  | INFO:     172.22.0.1:47010 - "OPTIONS /auth/refresh HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47010 - "POST /auth/refresh HTTP/1.1" 404 Not Found
lucide_backend  | INFO:     172.22.0.1:47010 - "OPTIONS /auth/logout HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47010 - "OPTIONS /auth/logout HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47022 - "POST /auth/logout HTTP/1.1" 404 Not Found
lucide_backend  | INFO:     172.22.0.1:47010 - "POST /auth/logout HTTP/1.1" 404 Not Found
lucide_backend  | INFO:     172.22.0.1:47030 - "POST /auth/logout HTTP/1.1" 404 Not Found
lucide_backend  | INFO:     172.22.0.1:42382 - "OPTIONS /auth/login HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 11:29:03,301 - backend.auth.router - INFO - User user2@example.com logged in successfully
lucide_backend  | INFO:     172.22.0.1:42382 - "POST /auth/login HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 11:29:03,572 - backend.main - INFO - Fetching leagues for season 2025...
lucide_backend  | 2025-12-23 11:29:03,573 - backend.main - INFO - Fetching type=league...
lucide_backend  | 2025-12-23 11:29:03,573 - backend.api.football_api - INFO - API Request: leagues with params: {'season': 2025, 'type': 'league', 'current': 'true'}
lucide_backend  | 2025-12-23 11:29:03,680 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/leagues?season=2025&type=league&current=true "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:29:03,694 - backend.api.football_api - INFO - API Response: 604 results
lucide_backend  | 2025-12-23 11:29:03,695 - backend.main - INFO - Found 604 leagues
lucide_backend  | 2025-12-23 11:29:03,699 - backend.main - INFO - Fetching type=cup...
lucide_backend  | 2025-12-23 11:29:03,699 - backend.api.football_api - INFO - API Request: leagues with params: {'season': 2025, 'type': 'cup', 'current': 'true'}
lucide_backend  | 2025-12-23 11:29:03,730 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/leagues?season=2025&type=cup&current=true "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:29:03,738 - backend.api.football_api - INFO - API Response: 279 results
lucide_backend  | 2025-12-23 11:29:03,738 - backend.main - INFO - Found 279 cups
lucide_backend  | 2025-12-23 11:29:03,740 - backend.main - INFO - Total leagues collected: 883
lucide_backend  | 2025-12-23 11:29:03,742 - backend.main - INFO - Returning 883 leagues (8 favorites)
lucide_backend  | INFO:     172.22.0.1:42382 - "GET /api/leagues/all HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 11:29:03,827 - backend.main - INFO - Fetching leagues for season 2025...
lucide_backend  | 2025-12-23 11:29:03,827 - backend.main - INFO - Fetching type=league...
lucide_backend  | 2025-12-23 11:29:03,828 - backend.api.football_api - INFO - API Request: leagues with params: {'season': 2025, 'type': 'league', 'current': 'true'}
lucide_backend  | 2025-12-23 11:29:03,865 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/leagues?season=2025&type=league&current=true "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:29:03,877 - backend.api.football_api - INFO - API Response: 604 results
lucide_backend  | 2025-12-23 11:29:03,877 - backend.main - INFO - Found 604 leagues
lucide_backend  | 2025-12-23 11:29:03,881 - backend.main - INFO - Fetching type=cup...
lucide_backend  | 2025-12-23 11:29:03,881 - backend.api.football_api - INFO - API Request: leagues with params: {'season': 2025, 'type': 'cup', 'current': 'true'}
lucide_backend  | 2025-12-23 11:29:03,914 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/leagues?season=2025&type=cup&current=true "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:29:03,919 - backend.api.football_api - INFO - API Response: 279 results
lucide_backend  | 2025-12-23 11:29:03,920 - backend.main - INFO - Found 279 cups
lucide_backend  | 2025-12-23 11:29:03,922 - backend.main - INFO - Total leagues collected: 883
lucide_backend  | 2025-12-23 11:29:03,923 - backend.main - INFO - Returning 883 leagues (8 favorites)
lucide_backend  | INFO:     172.22.0.1:42392 - "GET /api/leagues/all HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:56698 - "OPTIONS /api/fixtures?league_id=6&date=2025-12-23 HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:56710 - "OPTIONS /api/fixtures?league_id=6&date=2025-12-23 HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 11:29:18,583 - backend.api.football_api - INFO - API Request: fixtures with params: {'league': 6, 'season': 2025, 'date': '2025-12-23'}
